UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,pct_secundaria_completa,POB_HAB,IDH_RANK
120908,JUNIN,CHUPACA,TRES DE DICIEMBRE,0.503352,4,710.402349,76.441102,8.66177,60.991902,2399,489
160201,LORETO,ALTO AMAZONAS,YURIMAGUAS,0.503318,4,835.287457,73.448017,9.51218,43.557111,80464,490
180211,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,0.503148,4,647.035603,77.986593,8.018429,77.060358,2014,491
200603,PIURA,SULLANA,IGNACIO ESCUDERO,0.50253,4,792.098711,79.018363,6.446953,64.363592,21810,492
151016,LIMA,YAUYOS,HUANTAN,0.502161,4,684.179865,83.819704,8.278256,52.729211,962,493
150608,LIMA,HUARAL,PACARAOS,0.50088,4,788.337171,82.403505,7.649487,44.838478,320,494
220706,SAN MARTIN,PICOTA,SAN CRISTOBAL,0.50047,4,992.891691,76.114607,6.232775,45.929753,1371,495
200503,PIURA,PAITA,ARENAL,0.49947,4,741.74845,82.984865,6.961413,55.635872,950,496
030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,0.499164,4,631.002585,75.709627,7.799769,87.673875,13588,497
021201,ANCASH,HUAYLAS,CARAZ,0.498427,4,791.681997,79.231974,7.153983,52.822705,25527,498
190103,PASCO,PASCO,HUARIACA,0.498129,4,640.618234,73.765486,8.867891,76.976898,7859,499
090701,HUANCAVELICA,TAYACAJA,PAMPAS,0.497813,4,646.431859,76.188465,8.220987,75.158491,10082,500
140307,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,0.497467,4,761.290821,75.93908,7.695954,58.335797,28735,501
131202,LA LIBERTAD,VIRU,CHAO,0.49715,4,929.971611,77.797597,6.322207,46.446663,44369,502
200806,PIURA,SECHURA,RINCONADA LLICUAR,0.496957,4,703.695659,74.167863,7.914655,70.786055,3082,503
120503,JUNIN,JUNIN,ONDORES,0.496938,4,799.242583,67.883571,7.695027,73.876764,454,504
200405,PIURA,MORROPON,MORROPON,0.4969,4,741.317648,75.546454,7.004966,70.475881,13757,505
050601,AYACUCHO,LUCANAS,PUQUIO,0.495073,4,730.724609,69.751386,8.507045,70.343162,14074,506
150301,LIMA,CAJATAMBO,CAJATAMBO,0.494912,4,840.931508,70.526062,7.612229,58.335841,1680,507
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,0.493918,4,771.859846,75.261533,6.745139,66.486403,3094,508
190307,PASCO,OXAPAMPA,VILLA RICA,0.493502,4,835.210915,71.169742,7.658019,56.115509,18777,509
040405,AREQUIPA,CASTILLA,CHILCAYMARCA,0.49334,4,797.91588,79.434787,7.050961,49.449137,1305,510
120119,JUNIN,HUANCAYO,HUANCAN,0.492869,4,690.110684,71.448784,8.536672,71.382035,26022,511
120408,JUNIN,JAUJA,HUAMALI,0.492667,4,714.660265,71.261723,8.756732,64.582168,1568,512
040518,AREQUIPA,CAYLLOMA,TUTI,0.491938,4,756.480104,82.50771,6.008008,60.773069,596,513
220703,SAN MARTIN,PICOTA,CASPISAPA,0.491904,4,851.962104,73.9517,6.840488,54.587939,2192,514
040414,AREQUIPA,CASTILLA,VIRACO,0.491623,4,800.122202,75.212939,7.552823,51.646876,1366,515
090508,HUANCAVELICA,CHURCAMPA,SAN MIGUEL DE MAYOCC,0.491312,4,754.319953,76.133982,7.834759,53.511507,1074,516
220103,SAN MARTIN,MOYOBAMBA,HABANA,0.491185,4,990.310998,74.583504,5.776343,48.893215,1879,517
010206,AMAZONAS,BAGUA,LA PECA,0.490584,4,960.8638,71.507116,6.614769,48.505991,6330,518
050116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,0.489944,4,719.554362,67.47987,8.937907,71.178529,35359,519
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,0.489706,4,831.258826,71.222684,7.490774,55.570564,305,520
010204,AMAZONAS,BAGUA,EL PARCO,0.489049,4,801.145916,74.333058,6.036484,70.215409,1380,521
150902,LIMA,OYON,ANDAJES,0.488913,4,815.373731,82.506176,4.73869,71.684369,775,522
090106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,0.488231,4,965.860218,69.436767,6.587871,51.354507,2303,523
120501,JUNIN,JUNIN,JUNIN,0.488132,4,707.322962,69.772521,8.731602,66.901552,6833,524
180206,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,0.487905,4,643.896604,82.791694,8.100492,53.708734,1545,525
180207,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,0.48763,4,705.350973,79.004719,7.912485,52.129065,921,526
180204,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,0.487331,4,610.346181,78.366906,7.90064,72.342376,4190,527
060108,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,0.487318,4,776.43199,74.240966,6.624839,64.687788,48281,528
120121,JUNIN,HUANCAYO,HUAYUCACHI,0.486901,4,675.919212,71.277586,8.427567,70.984628,9078,529
021409,ANCASH,OCROS,SAN PEDRO,0.486844,4,637.014733,78.183401,7.608332,69.461492,1631,530
131203,LA LIBERTAD,VIRU,GUADALUPITO,0.486799,4,840.578823,77.582553,6.150547,52.951481,9839,531
200506,PIURA,PAITA,TAMARINDO,0.486528,4,762.259287,81.019801,6.033438,58.629437,4811,532
200801,PIURA,SECHURA,SECHURA,0.486072,4,781.821844,72.15815,7.507596,57.86688,48691,533
010501,AMAZONAS,LUYA,LAMUD,0.485915,4,811.135646,71.714044,7.754207,52.238888,2028,534
020802,ANCASH,CASMA,BUENA VISTA ALTA,0.485047,4,898.187286,80.992543,5.604524,45.515505,4604,535
100208,HUANUCO,AMBO,TOMAY KICHWA,0.485016,4,742.075472,73.056054,7.414682,62.374913,2191,536
040411,AREQUIPA,CASTILLA,TIPAN,0.485008,4,632.208457,78.281177,7.856513,65.932182,412,537
120402,JUNIN,JAUJA,ACOLLA,0.484661,4,740.789976,71.7097,7.681609,62.978405,5696,538
021407,ANCASH,OCROS,LLIPA,0.48453,4,549.149824,81.805829,6.935702,91.744878,1332,539
050619,AYACUCHO,LUCANAS,SANCOS,0.484297,4,796.295548,68.783446,7.956802,58.588397,7033,540
120108,JUNIN,HUANCAYO,CHONGOS ALTO,0.483322,4,723.884948,75.243823,6.526658,69.925156,1136,541
140206,LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,0.483069,4,693.477079,70.96445,8.449211,64.801448,13710,542
140109,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,0.482887,4,677.085962,81.924595,7.420303,52.450868,2321,543
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,0.482819,4,866.135997,73.004352,6.391833,53.831695,1369,544
050616,AYACUCHO,LUCANAS,SAN JUAN,0.48257,4,706.319142,65.80879,8.388994,79.323385,1461,545
060802,CAJAMARCA,JAEN,BELLAVISTA,0.482353,4,905.991171,74.68609,5.880567,51.191078,13072,546
240302,TUMBES,ZARUMILLA,AGUAS VERDES,0.480955,4,729.161341,73.071762,7.343272,62.285127,22758,547
220501,SAN MARTIN,LAMAS,LAMAS,0.480507,4,828.003503,70.904762,7.073505,54.70875,12433,548
220809,SAN MARTIN,RIOJA,YURACYACU,0.479728,4,890.184036,73.576251,6.376549,47.939021,3398,549
030216,APURIMAC,ANDAHUAYLAS,TALAVERA,0.479313,4,658.761072,75.371616,7.118817,71.732193,17232,550
230401,TACNA,TARATA,TARATA,0.479144,4,567.944259,77.102696,8.14464,76.83021,3240,551
220804,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,0.478976,4,847.291095,73.437782,6.28528,54.016353,47553,552
021401,ANCASH,OCROS,OCROS,0.47785,4,682.247685,78.54078,7.690764,52.274475,855,553
120432,JUNIN,JAUJA,TUNAN MARCA,0.477757,4,645.287425,75.00045,7.130196,74.423261,957,554
080910,CUSCO,LA CONVENCION,PICHARI,0.477639,4,715.563833,75.769881,7.386781,55.297962,22179,555
140303,LAMBAYEQUE,LAMBAYEQUE,ILLIMO,0.477044,4,622.172151,76.111275,7.591924,70.175585,8932,556
090710,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,0.476906,4,956.659389,73.058644,4.859243,60.887088,1221,557
120425,JUNIN,JAUJA,PARCO,0.476617,4,677.428542,69.189588,7.97487,73.168936,918,558
120414,JUNIN,JAUJA,LLOCLLAPAMPA,0.476508,4,736.657493,68.665278,7.78927,64.676495,846,559
120133,JUNIN,HUANCAYO,SAPALLANGA,0.475997,4,654.677095,72.235256,7.73435,71.058481,16344,560
120132,JUNIN,HUANCAYO,SAÑO,0.475958,4,697.904534,71.174203,6.902458,75.535979,4751,561
050805,AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,0.475851,4,718.758035,73.173867,7.424921,59.088773,663,562
101007,HUANUCO,LAURICOCHA,SAN MIGUEL DE CAURI,0.47583,4,803.381811,69.511223,7.851299,50.932147,8238,563
040114,AREQUIPA,AREQUIPA,POLOBAYA,0.475356,4,706.921232,76.01313,7.981481,49.345466,1161,564
250301,UCAYALI,PADRE ABAD,PADRE ABAD,0.475207,4,761.163286,77.151226,7.086752,47.177338,23645,565
150702,LIMA,HUAROCHIRI,ANTIOQUIA,0.474992,4,818.591519,71.831715,5.88923,64.779919,1176,566
010302,AMAZONAS,BONGARA,CHISQUILLA,0.474975,4,797.751145,71.541898,5.450851,77.517641,283,567
081303,CUSCO,URUBAMBA,HUAYLLABAMBA,0.474684,4,561.598916,74.7627,8.225739,80.530648,5389,568
021408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,0.474611,4,692.173705,80.48521,6.441984,57.521537,567,569
150607,LIMA,HUARAL,LAMPIAN,0.474146,4,565.420418,81.375768,6.91312,77.19445,243,570
150305,LIMA,CAJATAMBO,MANAS,0.474126,4,734.726678,69.894912,7.868844,58.915788,899,571
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,0.474112,4,585.935671,82.204136,7.357156,63.914829,32072,572
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,0.47377,4,848.55239,71.622414,6.384657,53.255124,687,573
120902,JUNIN,CHUPACA,AHUAC,0.473665,4,661.451459,70.86243,8.058978,67.898062,5463,574
120127,JUNIN,HUANCAYO,QUICHUAY,0.473028,4,711.360828,73.205995,6.435694,70.610923,1571,575
151014,LIMA,YAUYOS,HUANCAYA,0.472777,4,413.234032,84.222796,10.290424,81.420105,1166,576
140312,LAMBAYEQUE,LAMBAYEQUE,TUCUME,0.47267,4,681.432685,75.809209,6.724942,65.198819,22675,577
090605,HUANCAVELICA,HUAYTARA,LARAMARCA,0.472349,4,667.234934,71.628704,7.745783,66.762034,658,578
