UBIGEO,NOM_DPTO,NOM_PROV,NOM_DIST,pct_sin_cobertura,BASE_norm,pct_escuelas_operativas,S1_raw,S1_norm,pct_establecimientos_operativos,S2_raw,S2_norm,calidad_conexion,S3_raw,S3_norm,tiene_dependencia_policial,pct_operativas,S4_raw,S4_norm,IVDC_sectorial,IVDC_v2,quintil_ivdc_v2,IDH,quintil_idh,ingreso_per_capita,esperanza_vida,anios_educacion,IDH_num
030502,APURIMAC,COTABAMBAS,COTABAMBAS,9.21,0.0921,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,1.0,100.0,0.0,0.0,0.1,0.079048,1,0.356865,3,374.92575,70.198753,5.724668,0.356865
060613,CAJAMARCA,CUTERVO,SANTO TOMAS,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.356592,3,441.771747,75.809893,4.812732,0.356592
010707,AMAZONAS,UTCUBAMBA,YAMON,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.653846,4,0.35625,3,486.208931,70.229506,5.556004,0.35625
100508,HUANUCO,HUAMALIES,PUNCHAO,6.25,0.0625,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.705288,5,0.355522,3,431.5164,77.328965,5.246197,0.355522
101102,HUANUCO,YAROWILCA,CAHUAC,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.355398,3,345.721014,74.68449,6.316664,0.355398
021508,ANCASH,PALLASCA,PALLASCA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,1,4,0.8,1.0,0.0,100.0,1.0,0.95,0.730769,5,0.355183,3,418.000772,67.097758,5.809724,0.355183
190305,PASCO,OXAPAMPA,POZUZO,69.15,0.6915,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,1.0,0.0,100.0,1.0,0.75,0.696606,5,0.354511,3,521.999255,72.249022,5.23963,0.354511
210307,PUNO,CARABAYA,ITUATA,53.29,0.5329,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.802987,5,0.354483,3,405.796042,65.356539,5.825633,0.354483
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,20.75,0.2075,0.0,100.0,1.0,0.0,100.0,1.0,3,2,0.4,0.0,,100.0,1.0,0.85,0.694548,5,0.354329,3,504.539057,74.371195,4.612991,0.354329
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,69.12,0.6912,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.696554,5,0.354047,3,625.572055,70.998127,4.781382,0.354047
190106,PASCO,PASCO,PALLANCHACRA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.576923,2,0.353942,3,304.035917,73.285858,7.68103,0.353942
030417,APURIMAC,AYMARAES,YANACA,31.75,0.3175,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.210625,1,0.353906,3,376.233422,63.664084,6.396089,0.353906
050405,AYACUCHO,HUANTA,LURICOCHA,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.192308,1,0.353696,3,353.138873,75.003935,5.385231,0.353696
151032,LIMA,YAUYOS,VIÑAC,14.29,0.1429,100.0,0.0,0.0,100.0,0.0,0.0,1,4,0.8,0.0,,100.0,1.0,0.45,0.360993,2,0.353468,3,399.931458,78.769818,5.011157,0.353468
030302,APURIMAC,ANTABAMBA,EL ORO,21.43,0.2143,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.204671,1,0.353465,3,467.754849,50.557694,7.851773,0.353465
021506,ANCASH,PALLASCA,LACABAMBA,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.352782,3,502.421959,65.848126,6.027031,0.352782
230407,TACNA,TARATA,TARUCACHI,62.5,0.625,0.0,100.0,1.0,0.0,100.0,1.0,1,4,0.8,0.0,,100.0,1.0,0.95,0.867788,5,0.352604,3,269.608385,76.556224,7.504443,0.352604
060501,CAJAMARCA,CONTUMAZA,CONTUMAZA,15.32,0.1532,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.603438,4,0.352599,3,529.759687,70.150463,5.907581,0.352599
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,18.18,0.1818,0.0,100.0,1.0,0.0,100.0,1.0,5,0,0.0,0.0,,100.0,1.0,0.75,0.608388,4,0.35229,3,540.543266,70.769421,4.955564,0.35229
030504,APURIMAC,COTABAMBAS,HAQUIRA,12.99,0.1299,100.0,0.0,0.0,100.0,0.0,0.0,3,2,0.4,1.0,100.0,0.0,0.0,0.1,0.079921,1,0.352098,3,348.273196,75.791135,5.108446,0.352098
030711,APURIMAC,GRAU,TURPAY,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,5,0,0.0,0.0,,100.0,1.0,0.25,0.192308,1,0.351968,3,400.752252,62.745715,7.098455,0.351968
030407,APURIMAC,AYMARAES,IHUAYLLO,2.44,0.0244,0.0,100.0,1.0,100.0,0.0,0.0,1,4,0.8,0.0,,100.0,1.0,0.7,0.542403,2,0.351943,3,397.875894,63.482311,6.863393,0.351943
061311,CAJAMARCA,SANTA CRUZ,YAUYUCAN,0.0,0.0,0.0,100.0,1.0,0.0,100.0,1.0,2,3,0.6,0.0,,100.0,1.0,0.9,0.692308,4,0.351856,3,440.721169,72.295212,4.986817,0.351856
