UBIGEO,total_localidades_pronatel,localidades_operativas,localidades_en_ejecucion,localidades_proyectadas,pct_operativo,pob_cubierta_operativo,iiee_cubiertos,eess_cubiertos,dp_cubiertos
050910,1,1,0,0,100.0,324,1,1,0
051002,3,3,0,0,100.0,1417,5,3,0
051003,1,1,0,0,100.0,504,2,1,0
051004,3,3,0,0,100.0,507,0,3,0
051005,2,2,0,0,100.0,2878,5,2,0
051007,2,2,0,0,100.0,949,2,2,0
051008,1,1,0,0,100.0,542,2,1,0
051009,3,3,0,0,100.0,1392,5,3,0
051011,2,2,0,0,100.0,1721,5,2,0
051012,2,2,0,0,100.0,856,4,2,1
051101,4,4,0,0,100.0,1058,4,4,0
051102,2,2,0,0,100.0,308,1,2,0
051104,3,3,0,0,100.0,361,4,1,1
051105,1,1,0,0,100.0,348,2,1,0
051107,1,1,0,0,100.0,187,1,0,0
051108,3,3,0,0,100.0,381,2,3,0
060101,22,0,0,22,0.0,0,0,0,0
060102,7,0,0,7,0.0,0,0,0,0
060103,3,0,0,3,0.0,0,0,0,0
060105,28,0,0,28,0.0,0,0,0,0
060106,14,0,0,14,0.0,0,0,0,0
060107,3,0,0,3,0.0,0,0,0,0
060108,12,0,0,12,0.0,0,0,0,0
060109,4,0,0,4,0.0,0,0,0,0
060111,4,0,0,4,0.0,0,0,0,0
060112,1,0,0,1,0.0,0,0,0,0
060201,11,0,0,11,0.0,0,0,0,0
060202,17,0,0,17,0.0,0,0,0,0
060203,8,0,0,8,0.0,0,0,0,0
060204,4,0,0,4,0.0,0,0,0,0
060301,13,0,0,13,0.0,0,0,0,0
060303,6,0,0,6,0.0,0,0,0,0
060304,24,0,0,24,0.0,0,0,0,0
060306,2,0,0,2,0.0,0,0,0,0
060307,9,0,0,9,0.0,0,0,0,0
060308,2,0,0,2,0.0,0,0,0,0
060309,13,0,0,13,0.0,0,0,0,0
060310,9,0,0,9,0.0,0,0,0,0
060312,11,0,0,11,0.0,0,0,0,0
060401,28,0,0,28,0.0,0,0,0,0
060402,7,0,0,7,0.0,0,0,0,0
060403,5,0,0,5,0.0,0,0,0,0
060404,4,0,0,4,0.0,0,0,0,0
060405,1,0,0,1,0.0,0,0,0,0
060406,2,0,0,2,0.0,0,0,0,0
060407,6,0,0,6,0.0,0,0,0,0
060408,9,0,0,9,0.0,0,0,0,0
060409,13,0,0,13,0.0,0,0,0,0
060410,14,0,0,14,0.0,0,0,0,0
060411,14,0,0,14,0.0,0,0,0,0
060412,1,0,0,1,0.0,0,0,0,0
060413,7,0,0,7,0.0,0,0,0,0
060414,2,0,0,2,0.0,0,0,0,0
060415,14,0,0,14,0.0,0,0,0,0
060416,2,0,0,2,0.0,0,0,0,0
060417,30,0,0,30,0.0,0,0,0,0
060419,15,0,0,15,0.0,0,0,0,0
060501,4,0,0,4,0.0,0,0,0,0
060502,1,0,0,1,0.0,0,0,0,0
060503,2,0,0,2,0.0,0,0,0,0
060504,4,0,0,4,0.0,0,0,0,0
060505,1,0,0,1,0.0,0,0,0,0
060506,1,0,0,1,0.0,0,0,0,0
060507,2,0,0,2,0.0,0,0,0,0
060601,61,0,0,61,0.0,0,0,0,0
060602,22,0,0,22,0.0,0,0,0,0
060603,5,0,0,5,0.0,0,0,0,0
