UBIGEO,total_escuelas_pronatel,escuelas_operativas,escuelas_no_operativas,pct_escuelas_operativas
090201,4,4,0,100.00%
090202,9,9,0,100.00%
090203,11,11,0,100.00%
090204,6,6,0,100.00%
090205,2,2,0,100.00%
090206,19,19,0,100.00%
090207,6,6,0,100.00%
090208,8,8,0,100.00%
090301,19,19,0,100.00%
090302,15,15,0,100.00%
090303,2,2,0,100.00%
090304,4,4,0,100.00%
090306,6,6,0,100.00%
090307,2,2,0,100.00%
090308,2,2,0,100.00%
090309,2,2,0,100.00%
090310,3,3,0,100.00%
090311,3,3,0,100.00%
090312,5,5,0,100.00%
090402,2,2,0,100.00%
090403,2,2,0,100.00%
090404,1,1,0,100.00%
090405,1,1,0,100.00%
090406,1,1,0,100.00%
090407,3,3,0,100.00%
090409,4,4,0,100.00%
090410,1,1,0,100.00%
090412,2,2,0,100.00%
090413,2,2,0,100.00%
090502,8,8,0,100.00%
090503,4,4,0,100.00%
090504,4,4,0,100.00%
090506,5,5,0,100.00%
090507,8,8,0,100.00%
090509,4,4,0,100.00%
090510,7,7,0,100.00%
090511,3,3,0,100.00%
090602,1,1,0,100.00%
090603,3,3,0,100.00%
090604,1,1,0,100.00%
090605,2,2,0,100.00%
090606,3,3,0,100.00%
090607,2,2,0,100.00%
090608,2,2,0,100.00%
090609,1,1,0,100.00%
090610,1,1,0,100.00%
090611,2,2,0,100.00%
090612,1,1,0,100.00%
090613,3,3,0,100.00%
090614,1,1,0,100.00%
090615,1,1,0,100.00%
090616,2,2,0,100.00%
090701,5,5,0,100.00%
090702,2,2,0,100.00%
090703,9,9,0,100.00%
090704,5,5,0,100.00%
090705,3,3,0,100.00%
090706,3,3,0,100.00%
090707,3,3,0,100.00%
090709,11,11,0,100.00%
090711,6,6,0,100.00%
090713,2,2,0,100.00%
090714,8,8,0,100.00%
090715,8,8,0,100.00%
090716,3,3,0,100.00%
090717,6,6,0,100.00%
090718,4,4,0,100.00%
090719,9,9,0,100.00%
090720,4,4,0,100.00%
090723,2,2,0,100.00%
100101,2,0,2,0.00%
100102,8,0,8,0.00%
100103,5,0,5,0.00%
100104,12,0,12,0.00%
100105,3,0,3,0.00%
100106,4,0,4,0.00%
100107,1,0,1,0.00%
100108,3,0,3,0.00%
100109,12,0,12,0.00%
100110,1,0,1,0.00%
100111,1,0,1,0.00%
100112,2,0,2,0.00%
100113,11,0,11,0.00%
100201,6,0,6,0.00%
100202,1,0,1,0.00%
100203,4,0,4,0.00%
100204,1,0,1,0.00%
100205,5,0,5,0.00%
100206,2,0,2,0.00%
100207,4,0,4,0.00%
100301,1,0,1,0.00%
100307,5,0,5,0.00%
100311,5,0,5,0.00%
100313,2,0,2,0.00%
100316,3,0,3,0.00%
100317,5,0,5,0.00%
100321,2,0,2,0.00%
100322,3,0,3,0.00%
100323,1,0,1,0.00%
100401,1,0,1,0.00%
100402,5,0,5,0.00%
100403,2,0,2,0.00%
100404,8,0,8,0.00%
100501,6,0,6,0.00%
100502,2,0,2,0.00%
100503,6,0,6,0.00%
100504,14,0,14,0.00%
100505,3,0,3,0.00%
100506,5,0,5,0.00%
100507,10,0,10,0.00%
100508,2,0,2,0.00%
100509,7,0,7,0.00%
100510,6,0,6,0.00%
100511,5,0,5,0.00%
100601,2,0,2,0.00%
100602,3,0,3,0.00%
100603,1,0,1,0.00%
100604,3,0,3,0.00%
100605,3,0,3,0.00%
100606,2,0,2,0.00%
100607,1,0,1,0.00%
100609,3,0,3,0.00%
100610,1,0,1,0.00%
100701,14,0,14,0.00%
100702,2,0,2,0.00%
100703,6,0,6,0.00%
100704,5,0,5,0.00%
100705,1,0,1,0.00%
100801,7,0,7,0.00%
100802,5,0,5,0.00%
100803,13,0,13,0.00%
100804,11,0,11,0.00%
100901,5,0,5,0.00%
100902,4,0,4,0.00%
100903,6,0,6,0.00%
100904,2,0,2,0.00%
100905,2,0,2,0.00%
101001,3,0,3,0.00%
101002,2,0,2,0.00%
101003,1,0,1,0.00%
101004,1,0,1,0.00%
101005,5,0,5,0.00%
101006,4,0,4,0.00%
101007,4,0,4,0.00%
101101,3,0,3,0.00%
101103,2,0,2,0.00%
101104,7,0,7,0.00%
101106,6,0,6,0.00%
101107,2,0,2,0.00%
101108,1,0,1,0.00%
110109,3,2,1,66.67%
110111,4,4,0,100.00%
110114,1,1,0,100.00%
110202,1,0,1,0.00%
110203,2,2,0,100.00%
110204,4,0,4,0.00%
110205,4,0,4,0.00%
110208,1,0,1,0.00%
110209,2,0,2,0.00%
110301,1,1,0,100.00%
110302,6,3,3,50.00%
110303,1,1,0,100.00%
110305,1,0,1,0.00%
110402,3,3,0,100.00%
110403,2,0,2,0.00%
110404,3,0,3,0.00%
110502,1,0,1,0.00%
110503,3,0,3,0.00%
110504,2,0,2,0.00%
110505,2,0,2,0.00%
110507,1,0,1,0.00%
120104,1,0,1,0.00%
120105,1,0,1,0.00%
120108,3,0,3,0.00%
120111,1,1,0,100.00%
120112,1,1,0,100.00%
120113,1,0,1,0.00%
120114,1,0,1,0.00%
120119,1,0,1,0.00%
120120,2,0,2,0.00%
120122,2,0,2,0.00%
120124,8,0,8,0.00%
120126,2,0,2,0.00%
120127,3,0,3,0.00%
120128,3,0,3,0.00%
120129,1,0,1,0.00%
120132,1,0,1,0.00%
120133,5,0,5,0.00%
120134,1,0,1,0.00%
120135,2,2,0,100.00%
120201,2,0,2,0.00%
120202,3,0,3,0.00%
120203,9,9,0,100.00%
120204,1,0,1,0.00%
120205,5,0,5,0.00%
120206,8,0,8,0.00%
120207,1,0,1,0.00%
120209,2,2,0,100.00%
120210,2,2,0,100.00%
120212,1,0,1,0.00%
120213,2,0,2,0.00%
120214,8,0,8,0.00%
120215,2,2,0,100.00%
120302,15,11,4,73.33%
120303,17,11,6,64.71%
