UBIGEO,total_establecimientos_salud_pronatel,establecimientos_operativos,establecimientos_no_operativos,pct_establecimientos_operativos
110205,2,0,2,0.00%
110208,1,0,1,0.00%
110209,2,0,2,0.00%
110301,1,1,0,100.00%
110302,3,1,2,33.33%
110303,3,3,0,100.00%
110305,3,2,1,66.67%
110401,1,1,0,100.00%
110402,1,1,0,100.00%
110403,1,0,1,0.00%
110404,3,0,3,0.00%
110405,1,0,1,0.00%
110502,1,0,1,0.00%
110503,4,0,4,0.00%
110504,4,0,4,0.00%
110505,1,0,1,0.00%
120101,1,0,1,0.00%
120104,1,0,1,0.00%
120105,3,0,3,0.00%
120106,2,0,2,0.00%
120107,1,0,1,0.00%
120108,1,0,1,0.00%
120111,3,2,1,66.67%
120112,1,1,0,100.00%
120113,1,0,1,0.00%
120114,8,0,8,0.00%
120120,1,0,1,0.00%
120122,1,0,1,0.00%
120124,4,0,4,0.00%
120126,3,0,3,0.00%
120127,1,0,1,0.00%
120128,2,0,2,0.00%
120129,1,0,1,0.00%
120132,1,0,1,0.00%
120133,5,0,5,0.00%
120135,1,1,0,100.00%
120136,1,0,1,0.00%
120202,2,0,2,0.00%
120203,2,2,0,100.00%
120204,1,0,1,0.00%
120205,2,0,2,0.00%
120206,4,0,4,0.00%
120208,1,0,1,0.00%
120209,1,1,0,100.00%
120210,2,2,0,100.00%
120211,3,3,0,100.00%
120212,1,0,1,0.00%
120213,1,0,1,0.00%
120214,5,0,5,0.00%
120215,2,2,0,100.00%
120302,9,4,5,44.44%
120303,5,5,0,100.00%
120304,2,1,1,50.00%
120305,2,2,0,100.00%
120306,1,0,1,0.00%
120402,6,6,0,100.00%
120403,3,3,0,100.00%
120404,1,0,1,0.00%
120407,1,1,0,100.00%
120408,1,0,1,0.00%
120409,1,1,0,100.00%
120410,1,1,0,100.00%
120411,1,1,0,100.00%
120412,1,1,0,100.00%
120414,1,0,1,0.00%
120416,1,1,0,100.00%
120417,1,0,1,0.00%
120418,2,0,2,0.00%
120419,1,1,0,100.00%
120420,1,1,0,100.00%
120422,1,1,0,100.00%
120423,3,3,0,100.00%
120424,1,0,1,0.00%
120425,2,1,1,50.00%
120426,3,3,0,100.00%
120427,1,1,0,100.00%
120428,1,0,1,0.00%
120429,1,1,0,100.00%
120431,3,1,2,33.33%
120432,1,1,0,100.00%
120433,1,1,0,100.00%
120501,2,2,0,100.00%
120503,1,1,0,100.00%
120504,2,2,0,100.00%
120602,1,1,0,100.00%
